802823a8 DVDLowMaskCoverInterrupt
802823b0 DVDLowClearCoverInterrupt
8029658c ISFS_OpenLib
80296f2c ISFS_Delete
802974e4 ISFS_Open
802975ac ISFS_OpenAsync
80297664 ISFS_SeekAsync
80297710 ISFS_ReadAsync
802977b4 ISFS_Write
802977d4 ISFS_WriteAsync
8029787c ISFS_CloseAsync
80297990 IPCInit
802979ec IPCWriteReg
802979fc IPCGetBufferHi
80297a04 IPCGetBufferLo
80297a0c IPCSetBufferLo
80297a14 strnlen
80297e50 IPCCltInit
80297f04 __ios_Ipc2
80298150 IOS_OpenAsync
80298268 IOS_Open
80298388 IOS_CloseAsync
80298448 ISFS_Close
80298448 ISFS_Close
802984f0 IOS_ReadAsync
802986f8 IOS_WriteAsync
80298900 IOS_SeekAsync
802989e0 IOS_IoctlAsync
80298b18 IOS_Ioctl
80298c48 __ios_Ioctlv
80298e68 IOS_Ioctlv
80298f44 IOS_IoctlvReboot
8029902c iosCreateHeap
80299360 iosAllocAligned
80299364 iosFree
80299550 IPCiProfInit
80299608 IPCiProfQueueReq
8029992c NANDDelete
80299b74 NANDRead
80299bdc NANDReadAsync
80299c54 NANDWrite
80299cbc NANDWriteAsync
80299d34 NANDSeekAsync
8029a2b4 nandOpen
8029a3c8 NANDOpen
8029a4e0 NANDOpenAsync
8029a558 NANDPrivateOpenAsync
8029a5d0 nandOpenCallback
8029a648 NANDClose
8029a6b4 NANDCloseAsync
8029afa8 nandRemoveTailToken
8029b07c nandGetHeadToken
8029b1e8 nandConvertPath
8029b324 nandIsPrivatePath
8029b3b0 nandIsInitialised
8029b3c8 nandConvertErrorCode
8029b498 nandGenerateAbsPath
8029b604 NANDInit
8029b878 nandOnShutdown
8029c514 ESP_GetDataDir
8029c890 SCInit
8029c930 SCCheckStatus
8029ca4c SCReloadConfigFileAsync
8029cee4 ParseConfBuf
8029d130 UnpackItem
8029dac0 SCFindS8Item
8029e248 SCGetDisplayOffsetH
802a1490 UUSB_GetDevId
802a159c UUSB_Register
802a1808 UUSB_Open
802cc680 USB_Log
802cc728 USB_ErrorLog
802cc7d4 IUSB_OpenLib
802cca30 IUSB_OpenDeviceIds
802da858 DEBUGPrint
802e2814 ARCOpen
